epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,5436.69,0.80533,0.47363,1.09049,0.90508,0.92382,0.94189,0.7285,0.93456,0.46746,1.13146,0.000288718,0.000288718,0.000288718
101,5490.09,0.80275,0.4733,1.08873,0.91311,0.91916,0.94409,0.72878,0.93452,0.46442,1.10878,0.00028322,0.00028322,0.00028322
102,5543.39,0.7997,0.46873,1.08849,0.91063,0.92196,0.94194,0.7298,0.93234,0.4625,1.12632,0.000277722,0.000277722,0.000277722
103,5596.51,0.80339,0.47122,1.08917,0.90923,0.92542,0.94205,0.73257,0.93074,0.46448,1.11929,0.000272224,0.000272224,0.000272224
104,5649.64,0.79084,0.46772,1.08538,0.91471,0.91727,0.94238,0.7313,0.93439,0.46515,1.13028,0.000266727,0.000266727,0.000266727
105,5702.9,0.79105,0.46614,1.07968,0.91056,0.92734,0.94532,0.73335,0.9385,0.46046,1.1295,0.000261229,0.000261229,0.000261229
106,5756.32,0.79108,0.46442,1.08304,0.92316,0.90975,0.94445,0.73134,0.93928,0.46272,1.13638,0.000255731,0.000255731,0.000255731
107,5809.76,0.78848,0.46639,1.08081,0.89912,0.92723,0.94665,0.73757,0.93007,0.45818,1.10543,0.000250233,0.000250233,0.000250233
108,5862.58,0.78278,0.45954,1.07552,0.90037,0.93034,0.94483,0.72996,0.93556,0.46235,1.11519,0.000244735,0.000244735,0.000244735
109,5915.6,0.78178,0.46135,1.0744,0.9043,0.92983,0.94517,0.73262,0.93903,0.46164,1.11782,0.000239238,0.000239238,0.000239238
110,5969.13,0.77634,0.4549,1.06702,0.90126,0.92579,0.9434,0.73472,0.93271,0.463,1.10875,0.00023374,0.00023374,0.00023374
111,6023.11,0.77956,0.46155,1.07386,0.90939,0.92553,0.94502,0.73329,0.94021,0.46008,1.12753,0.000228242,0.000228242,0.000228242
112,6076.34,0.77164,0.45305,1.0734,0.9037,0.9309,0.94459,0.73506,0.93186,0.46062,1.12961,0.000222744,0.000222744,0.000222744
113,6129.67,0.77228,0.45493,1.07305,0.91813,0.91399,0.94583,0.73512,0.93974,0.45827,1.12215,0.000217246,0.000217246,0.000217246
114,6182.96,0.77397,0.45244,1.0717,0.91428,0.92054,0.94646,0.73507,0.93344,0.4625,1.10636,0.000211749,0.000211749,0.000211749
115,6235.82,0.76763,0.44996,1.06783,0.9016,0.93265,0.94549,0.73727,0.93186,0.46187,1.13047,0.000206251,0.000206251,0.000206251
116,6288.65,0.76874,0.45045,1.06751,0.92243,0.91578,0.94955,0.74077,0.93265,0.45876,1.1163,0.000200753,0.000200753,0.000200753
117,6341.61,0.76474,0.44489,1.06813,0.90277,0.92833,0.94651,0.73272,0.93968,0.46669,1.12459,0.000195255,0.000195255,0.000195255
118,6394.6,0.75544,0.44489,1.05892,0.9122,0.91813,0.94566,0.73214,0.93961,0.46474,1.12248,0.000189757,0.000189757,0.000189757
119,6447.65,0.76021,0.44691,1.06733,0.91078,0.92348,0.94823,0.73536,0.92873,0.45725,1.12173,0.00018426,0.00018426,0.00018426
120,6500.51,0.76172,0.44579,1.06407,0.90757,0.92642,0.94486,0.73407,0.94558,0.46803,1.14317,0.000178762,0.000178762,0.000178762
121,6553.32,0.76045,0.44239,1.06793,0.91579,0.92861,0.94827,0.74163,0.93351,0.45966,1.13318,0.000173264,0.000173264,0.000173264
122,6606.07,0.75089,0.44007,1.06351,0.90965,0.92237,0.9437,0.73581,0.9402,0.46887,1.13838,0.000167766,0.000167766,0.000167766
123,6659.69,0.74842,0.44017,1.06028,0.91557,0.92541,0.94509,0.73432,0.93337,0.45796,1.12305,0.000162268,0.000162268,0.000162268
124,6712.52,0.75081,0.44427,1.0605,0.91941,0.92058,0.94421,0.73477,0.93499,0.45501,1.13514,0.000156771,0.000156771,0.000156771
125,6765.29,0.74713,0.43608,1.06345,0.91639,0.91877,0.94408,0.73123,0.93875,0.46209,1.14416,0.000151273,0.000151273,0.000151273
126,6818.73,0.74422,0.43458,1.05665,0.90235,0.93021,0.94447,0.73512,0.93555,0.46767,1.13278,0.000145775,0.000145775,0.000145775
127,6871.8,0.73511,0.43138,1.05041,0.90359,0.93563,0.94529,0.7357,0.93238,0.4601,1.13315,0.000140277,0.000140277,0.000140277
128,6924.81,0.74339,0.43561,1.05716,0.91183,0.92845,0.94436,0.73534,0.93361,0.45879,1.13783,0.000134779,0.000134779,0.000134779
129,6977.77,0.73944,0.43086,1.04766,0.91221,0.92598,0.94475,0.7342,0.93849,0.46385,1.13998,0.000129282,0.000129282,0.000129282
130,7030.79,0.73665,0.42967,1.05361,0.90963,0.93186,0.94614,0.73843,0.92609,0.4551,1.1284,0.000123784,0.000123784,0.000123784
131,7083.69,0.733,0.42943,1.05318,0.90179,0.93546,0.94211,0.73396,0.93196,0.46014,1.13701,0.000118286,0.000118286,0.000118286
132,7136.61,0.73289,0.42498,1.04555,0.90313,0.93163,0.94282,0.73593,0.93029,0.46318,1.12703,0.000112788,0.000112788,0.000112788
133,7189.94,0.73224,0.42726,1.04558,0.90909,0.92138,0.94296,0.73615,0.9314,0.45994,1.12057,0.00010729,0.00010729,0.00010729
134,7243.22,0.7361,0.42341,1.04888,0.90761,0.92791,0.94134,0.73755,0.9299,0.4621,1.1216,0.000101793,0.000101793,0.000101793
135,7296.95,0.73352,0.42841,1.04936,0.90369,0.93354,0.944,0.73796,0.92731,0.45789,1.12227,9.62948e-05,9.62948e-05,9.62948e-05
136,7349.92,0.72509,0.4192,1.0438,0.90676,0.92809,0.94347,0.73557,0.93382,0.46016,1.12804,9.0797e-05,9.0797e-05,9.0797e-05
137,7403.04,0.72014,0.41807,1.04345,0.90167,0.92994,0.94069,0.73575,0.92821,0.46492,1.12862,8.52992e-05,8.52992e-05,8.52992e-05
138,7456.3,0.71991,0.41819,1.04328,0.89844,0.93514,0.9404,0.73565,0.93295,0.45945,1.13049,7.98014e-05,7.98014e-05,7.98014e-05
139,7509.58,0.71971,0.41792,1.04638,0.91119,0.92161,0.94143,0.73517,0.93423,0.46193,1.1315,7.43036e-05,7.43036e-05,7.43036e-05
140,7562.66,0.72078,0.41788,1.04395,0.91138,0.92513,0.94108,0.73283,0.93633,0.46212,1.13069,6.88058e-05,6.88058e-05,6.88058e-05
141,7616.1,0.65416,0.31682,1.00143,0.92472,0.91147,0.93555,0.72378,0.94094,0.46715,1.14425,6.3308e-05,6.3308e-05,6.3308e-05
142,7667.68,0.63485,0.30619,0.99352,0.90787,0.93232,0.93732,0.72624,0.94062,0.46215,1.14489,5.78102e-05,5.78102e-05,5.78102e-05
143,7719.14,0.62313,0.30129,0.98253,0.91457,0.91743,0.93827,0.72821,0.93817,0.46418,1.13569,5.23124e-05,5.23124e-05,5.23124e-05
144,7770.87,0.62325,0.29953,0.98175,0.9095,0.92569,0.93876,0.72762,0.9386,0.46525,1.1325,4.68146e-05,4.68146e-05,4.68146e-05
145,7822.21,0.6195,0.29898,0.98164,0.9078,0.92526,0.93648,0.72685,0.94226,0.46762,1.1403,4.13168e-05,4.13168e-05,4.13168e-05
146,7874.14,0.61471,0.29417,0.97943,0.90418,0.93008,0.93771,0.72822,0.94215,0.46791,1.14219,3.5819e-05,3.5819e-05,3.5819e-05
147,7925.32,0.61513,0.29525,0.98194,0.90344,0.93183,0.93828,0.7287,0.94305,0.46808,1.1353,3.03212e-05,3.03212e-05,3.03212e-05
148,7977.16,0.61136,0.29351,0.97396,0.90078,0.92744,0.93724,0.72651,0.94559,0.46987,1.13524,2.48234e-05,2.48234e-05,2.48234e-05
149,8029.73,0.60949,0.29227,0.97462,0.90434,0.93214,0.93776,0.72775,0.9431,0.46757,1.13481,1.93256e-05,1.93256e-05,1.93256e-05
150,8082.73,0.60539,0.28947,0.97099,0.90266,0.92936,0.93857,0.72857,0.94407,0.46976,1.13517,1.38278e-05,1.38278e-05,1.38278e-05
